cdmTableName,schema,isRequired,conceptPrefix,measurePersonCompleteness,measurePersonCompletenessThreshold,validation,tableDescription,userGuidance,etlConventions
observation,CDM,No,OBSERVATION_,Yes,0,NA,"OBSERVATION 테이블은 검사, 문진 또는 시술의 맥락에서 얻은 Person에 관한 임상적 사실을 담는다. 사회적·생활습관 사실, 병력, 가족력 등 다른 어떤 도메인으로도 표현할 수 없는 데이터를 여기에 기록한다.","Observations differ from Measurements in that they do not require a standardized test or some other activity to generate clinical fact. Typical observations are medical history, family history, the stated need for certain treatment, social circumstances, lifestyle choices, healthcare utilization patterns, etc. If the generation clinical facts requires a standardized testing such as lab testing or imaging and leads to a standardized result, the data item is recorded in the MEASUREMENT table. If the clinical fact observed determines a sign, symptom, diagnosis of a disease or other medical condition, it is recorded in the CONDITION_OCCURRENCE table. Valid Observation Concepts are not enforced to be from any domain but they must not belong to the Condition, Procedure, Drug, Device, Specimen, or Measurement domains and they must be Standard Concepts. <br><br>The observation table usually records the date or datetime of when the observation was obtained, not the date of the observation starting. For example, if the patient reports that they had a heart attack when they were 50, the observation date or datetime is the date of the report, the heart attack observation can have a value_as_concept which captures how long ago the observation applied to the patient.","Records whose Source Values map to any domain besides Condition, Procedure, Drug, Specimen, Measurement or Device should be stored in the Observation table. Observations can be stored as attribute value pairs, with the attribute as the Observation Concept and the value representing the clinical fact. This fact can be a Concept (stored in VALUE_AS_CONCEPT), a numerical value (VALUE_AS_NUMBER), a verbatim string (VALUE_AS_STRING), or a datetime (VALUE_AS_DATETIME). Even though Observations do not have an explicit result, the clinical fact can be stated separately from the type of Observation in the VALUE_AS_* fields. It is recommended for Observations that are suggestive statements of positive assertion should have a value of 'Yes' (concept_id=4188539), recorded, even though the null value is the equivalent."
death,CDM,No,NA,No,NA,NA,"death 도메인은 Person이 어떻게 그리고 언제 사망했는지에 대한 임상 이벤트를 포함한다. 원본 시스템에 사망에 대한 증거(예: 행정 청구의 Condition, 건강보험 가입 상태, EHR 데이터의 명시적 레코드 등)가 있는 경우, 한 사람은 최대 하나의 레코드를 가질 수 있다.",NA,"For specific conventions on how to populate this table, please refer to the [THEMIS repository](https://ohdsi.github.io/Themis/death.html)."
note,CDM,No,NA,Yes,0,NA,"NOTE 테이블은 제공자가 특정 날짜에 환자에 대해 자유 텍스트(ASCII, 또는 가급적 UTF8 형식)로 기록한 비구조화 정보를 담는다. note_text의 자료형은 RDBMS에 따라 CLOB 또는 varchar(MAX)이다.",NA,"HL7/LOINC CDO is a standard for consistent naming of documents to support a range of use cases: retrieval, organization, display, and exchange. It guides the creation of LOINC codes for clinical notes. CDO annotates each document with 5 dimensions:

- **Kind of Document**: Characterizes the general structure of the document at a macro level (e.g. Anesthesia Consent)
- **Type of Service**: Characterizes the kind of service or activity (e.g. evaluations, consultations, and summaries). The notion of time sequence, e.g., at the beginning (admission) at the end (discharge) is subsumed in this axis. Example: Discharge Teaching.
- **Setting**: Setting is an extension of CMS's definitions (e.g. Inpatient, Outpatient)
- **Subject Matter Domain (SMD)**: Characterizes the subject matter domain of a note (e.g. Anesthesiology)
- **Role**: Characterizes the training or professional level of the author of the document, but does not break down to specialty or subspecialty (e.g. Physician)
Each combination of these 5 dimensions rolls up to a unique LOINC code.

According to CDO requirements, only 2 of the 5 dimensions are required to properly annotate a document; Kind of Document and any one of the other 4 dimensions.
However, not all the permutations of the CDO dimensions will necessarily yield an existing LOINC code. Each of these dimensions are contained in the OMOP Vocabulary under the domain of 'Meas Value' with each dimension represented as a Concept Class."
note_nlp,CDM,No,NA,No,NA,NA,NOTE_NLP 테이블은 임상 노트에 대한 NLP의 모든 출력을 인코딩한다. 각 행은 노트에서 추출된 단일 용어를 나타낸다.,NA,NA
specimen,CDM,No,SPECIMEN_,Yes,0,NA,specimen 도메인은 사람으로부터 채취한 생물학적 검체를 식별하는 레코드를 포함한다.,NA,"Anatomic site is coded at the most specific level of granularity possible, such that higher level classifications can be derived using the Standardized Vocabularies."
fact_relationship,CDM,No,NA,No,NA,NA,"FACT_RELATIONSHIP 테이블은 CDM의 어느 테이블에든 레코드로 저장된 사실들 간의 관계에 관한 레코드를 포함한다. 관계는 동일한 도메인 내 사실들 사이에서, 또는 서로 다른 도메인의 사실들 사이에서 정의될 수 있다. Fact Relationship의 예로는 [Person relationships](https://athena.ohdsi.org/search-terms/terms?domain=Relationship&standardConcept=Standard&page=2&pageSize=15&query=)(부모-자식), care site 관계(의료 시스템 내 시설의 계층적 조직 구조), indication 관계(drug exposure와 연관된 condition 사이), usage 관계(연관된 procedure 과정에서의 device 사용), 또는 서로로부터 도출된 사실(연관된 specimen에서 도출된 measurement) 등이 있다.",NA,"All relationships are directional, and each relationship is represented twice symmetrically within the FACT_RELATIONSHIP table. For example, two persons if person_id = 1 is the mother of person_id = 2 two records are in the FACT_RELATIONSHIP table (all strings in fact concept_id records in the Concept table:
- Person, 1, Person, 2, parent of
- Person, 2, Person, 1, child of"
location,CDM,No,NA,No,NA,NA,LOCATION 테이블은 Person과 Care Site의 물리적 위치 또는 주소 정보를 담는 범용적 방식을 나타낸다.,NA,"Each address or Location is unique and is present only once in the table. Locations do not contain names, such as the name of a hospital. In order to construct a full address that can be used in the postal service, the address information from the Location needs to be combined with information from the Care Site."
care_site,CDM,No,NA,No,NA,NA,"CARE_SITE 테이블은 의료가 제공되는 고유하게 식별된 기관(물리적 또는 조직적) 단위(진료소, 병동, 병원, 클리닉 등)의 목록을 포함한다.",NA,"Care site is a unique combination of location_id and nature of the site - the latter could be the place of service, name, or another characteristic in your source data. Care site does not take into account the provider (human) information such a specialty. Many source data do not make a distinction between individual and institutional providers. The CARE_SITE table contains the institutional providers. If the source, instead of uniquely identifying individual Care Sites, only provides limited information such as Place of Service, generic or ""pooled"" Care Site records are listed in the CARE_SITE table. There can be hierarchical and business relationships between Care Sites. For example, wards can belong to clinics or departments, which can in turn belong to hospitals, which in turn can belong to hospital systems, which in turn can belong to HMOs.The relationships between Care Sites are defined in the FACT_RELATIONSHIP table.<br><br>For additional detailed conventions on how to populate this table, please refer to [THEMIS repository](https://ohdsi.github.io/Themis/care_site.html)."
provider,CDM,No,NA,No,NA,NA,"PROVIDER 테이블은 고유하게 식별된 의료 제공자의 목록을 포함하며, 중복은 허용되지 않는다. 이들은 의사, 간호사, 조산사, 물리치료사 등 환자에게 직접 의료를 제공하는 개인이다.","Many sources do not make a distinction between individual and institutional providers. The PROVIDER table contains the individual providers. If the source only provides limited information such as specialty instead of uniquely identifying individual providers, generic or 'pooled' Provider records are listed in the PROVIDER table.",NA
payer_plan_period,CDM,No,NA,Yes,0,NA,"PAYER_PLAN_PERIOD 테이블은 Person이 특정 Payer로부터 특정 건강 Plan 급여 구조 하에 연속적으로 가입되어 있는 기간의 세부 정보를 담는다. 의료를 받는 각 Person은 일반적으로 건강 급여 plan의 보장을 받으며, 이 plan이 치료 비용을 (전부 또는 일부) 지불하거나 직접 치료를 제공한다. 이러한 급여 plan은 건강보험사나 주 또는 정부 기관과 같은 payer가 제공한다. 각 plan에서는 Person 또는 그 가족을 위한 건강 급여의 세부 사항이 정의되며, 건강 급여 Plan은 시간이 지남에 따라 변경될 수 있는데, 일반적으로 이용량 증가(공제액 같은 특정 비용 임계값 도달), plan 가용성, Person의 구매 선택 등에 따라 달라진다. Person에게 유효한 Payer 조직, 건강 급여 Plan, 기간의 고유한 조합이 이 테이블에 기록된다.","A Person can have multiple, overlapping, Payer_Plan_Periods in this table. For example, medical and drug coverage in the US can be represented by two Payer_Plan_Periods. The details of the benefit structure of the Plan is rarely known, the idea is just to identify that the Plans are different.",NA
cost,CDM,No,NA,No,NA,NA,"COST 테이블은 DRUG_EXPOSURE, PROCEDURE_OCCURRENCE, VISIT_OCCURRENCE, VISIT_DETAIL, DEVICE_OCCURRENCE, OBSERVATION, MEASUREMENT 등 OMOP 임상 이벤트 테이블 중 하나에 기록된 모든 의료 이벤트의 비용을 담는 레코드를 포함한다.

cost 테이블의 각 레코드는 임상 이벤트에 대해 거래된 금액을 설명한다. 따라서 COST 테이블은 미수금(청구액)과 지급액(지불된 금액)을 모두 나타내는 데 사용될 수 있으며, 각 거래 유형은 해당 COST_CONCEPT_ID로 표현된다. COST_TYPE_CONCEPT_ID 필드는 Standardized Vocabularies의 concept를 사용하여 비용 데이터의 출처(provenance)를 지정한다. PAYER_PLAN_PERIOD 테이블의 건강 plan 정보에 대한 참조가 레코드에 저장되며, 이는 심사 시스템이 임상 이벤트에 대한 사람의 급여를 결정하는 데 사용하는 정보로 활용된다.","When dealing with summary costs, the cost of the goods or services the provider provides is often not known directly, but derived from the hospital charges multiplied by an average cost-to-charge ratio.","One cost record is generated for each response by a payer. In a claims databases, the payment and payment terms reported by the payer for the goods or services billed will generate one cost record. If the source data has payment information for more than one payer (i.e. primary insurance and secondary insurance payment for one entity), then a cost record is created for each reporting payer. Therefore, it is possible for one procedure to have multiple cost records for each payer, but typically it contains one or no record per entity. Payer reimbursement cost records will be identified by using the PAYER_PLAN_ID field. Drug costs are composed of ingredient cost (the amount charged by the wholesale distributor or manufacturer), the dispensing fee (the amount charged by the pharmacy and the sales tax)."
drug_era,CDM,No,NA,Yes,0,NA,"Drug Era는 Person이 특정 활성 성분에 노출된 것으로 가정되는 기간으로 정의된다. Drug Era는 Drug Exposure와 동일하지 않다. Exposure는 Drug가 Person에게 전달된 시점에 해당하는 소스의 개별 레코드인 반면, 연속된 Drug Exposure 기간들을 특정 규칙에 따라 결합하여 연속적인 Drug Era를 생성한다. DRUG_EXPOSURE 테이블의 모든 레코드는 노출 날짜를 기준으로 어떤 drug era의 일부가 되어야 한다.",NA,The SQL script for generating DRUG_ERA records can be found [here](https://ohdsi.github.io/CommonDataModel/sqlScripts.html#drug_eras).
dose_era,CDM,No,NA,Yes,0,NA,Dose Era는 Person이 특정 활성 성분의 일정한 용량에 노출된 것으로 가정되는 기간으로 정의된다.,NA,"Dose Eras will be derived from records in the DRUG_EXPOSURE table and the Dose information from the DRUG_STRENGTH table using a standardized algorithm. Dose Form information is not taken into account. So, if the patient changes between different formulations, or different manufacturers with the same formulation, the Dose Era is still spanning the entire time of exposure to the Ingredient."
condition_era,CDM,No,NA,Yes,0,NA,"Condition Era는 Person이 특정 condition을 가진 것으로 가정되는 기간으로 정의된다. Drug Era와 유사하게, Condition Era는 Condition Occurrence의 시간순 기간이며 모든 Condition Occurrence 레코드는 어떤 Condition Era의 일부가 되어야 한다. 개별 Condition Occurrence를 하나의 Condition Era로 결합하는 것은 두 가지 목적을 가진다:

- 각 Condition Occurrence를 독립적인 이벤트로 취급하는 대신, 빈번한 지속적 관리가 필요한 만성 질환을 집계할 수 있게 한다.
- 동일한 Condition에 대해 가깝게 발생한 여러 진료 방문을 집계하여 Condition Occurrence의 중복 계산을 방지할 수 있게 한다.
예를 들어, 1차 진료 의사(PCP)를 방문하고 전문의에게 의뢰된 Person을 생각해 보자. 이후 그 Person은 전문의를 방문하고, 전문의는 PCP의 원래 진단을 확인하여 해당 condition을 해결하기 위한 적절한 치료를 제공한다. 이 두 개의 독립적인 진료 방문은 하나의 Condition Era로 집계되어야 한다.",NA,"Each Condition Era corresponds to one or many Condition Occurrence records that form a continuous interval.
The condition_concept_id field contains Concepts that are identical to those of the CONDITION_OCCURRENCE table records that make up the Condition Era. In contrast to Drug Eras, Condition Eras are not aggregated to contain Conditions of different hierarchical layers. The SQl Script for generating CONDITION_ERA records can be found [here](https://ohdsi.github.io/CommonDataModel/sqlScripts.html#condition_eras)
The Condition Era Start Date is the start date of the first Condition Occurrence.
The Condition Era End Date is the end date of the last Condition Occurrence. Condition Eras are built with a Persistence Window of 30 days, meaning, if no occurrence of the same condition_concept_id happens within 30 days of any one occurrence, it will be considered the condition_era_end_date."
metadata,CDM,No,NA,No,NA,NA,METADATA 테이블은 OMOP Common Data Model로 변환된 데이터셋에 관한 메타데이터 정보를 포함한다.,NA,NA
cdm_source,CDM,No,NA,No,NA,NA,CDM_SOURCE 테이블은 소스 데이터베이스와 데이터를 OMOP Common Data Model로 변환하는 데 사용된 프로세스에 관한 세부 정보를 포함한다.,NA,NA
concept,VOCAB,No,NA,No,NA,NA,"Standardized Vocabularies는 CDM의 모든 도메인 테이블에서 임상 정보를 표현하는 데 사용되는 의미의 각 기본 단위를 고유하게 식별하는 레코드, 즉 Concept를 포함한다. Concept는 코드와 관련 설명을 사용하여 도메인 전반의 임상 정보(예: condition, drug, procedure)를 표현하는 vocabulary로부터 파생된다. 일부 Concept는 Standard Concept로 지정되는데, 이는 해당 Concept가 OMOP Common Data Model 및 표준화된 분석 내에서 임상 개체의 규범적 표현으로 사용될 수 있음을 의미한다. 각 Standard Concept는 하나의 Domain에 속하며, 이 Domain은 해당 Concept가 CDM의 데이터 테이블 내에서 나타날 것으로 예상되는 위치를 정의한다. Concept는 광범위한 범주('심혈관 질환'), 상세한 임상 요소('전측벽 심근경색'), 또는 다양한 수준의 세부사항으로 Concept를 정의하는 수식 특성 및 속성(질병의 중증도, 관련 형태학 등)을 나타낼 수 있다. Standardized Vocabularies 테이블의 레코드는 SNOMED-CT, RxNorm, LOINC와 같은 국가 또는 국제 vocabulary에서 파생되거나, 관찰 데이터 분석의 다양한 측면을 다루기 위해 정의된 맞춤형 OMOP Concept에서 파생된다.
","The primary purpose of the CONCEPT table is to provide a standardized representation of medical Concepts, allowing for consistent querying and analysis across the healthcare databases.
Users can join the CONCEPT table with other tables in the CDM to enrich clinical data with standardized Concept information or use the CONCEPT table as a reference for mapping clinical data from source terminologies to Standard Concepts.",NA
vocabulary,VOCAB,No,NA,No,NA,NA,"VOCABULARY 테이블은 다양한 소스로부터 통합되거나 OMOP CDM에서 새롭게 생성된 Vocabulary의 목록을 포함한다. 이 참조 테이블은 각 Vocabulary에 대해 단일 레코드를 포함하며, Vocabulary에 대한 설명적 이름과 기타 관련 속성을 포함한다.","The primary purpose of the VOCABULARY table is to provide explicit information about specific vocabulary versions and the references to the sources from which they are asserted. Users can identify the version of a particular vocabulary used in the database, enabling consistency and reproducibility in data analysis. Besides, users can check the vocabulary release version in their CDM which refers to the vocabulary_id = 'None'.",NA
domain,VOCAB,No,NA,No,NA,NA,"DOMAIN 테이블은 Standardized Vocabularies의 Concept가 속할 수 있는 OMOP 정의 Domain의 목록을 포함한다. Domain은 CDM 테이블의 표준화된 필드에 일치하는 Concept를 할당하기 위한 임상적 정의를 나타낸다. 예를 들어, Condition Domain은 환자의 condition을 설명하는 Concept를 포함하며, 이러한 Concept는 CONDITION_OCCURRENCE 및 CONDITION_ERA 테이블의 condition_concept_id 필드에서만 사용할 수 있다. 이 참조 테이블은 각 Domain에 대해 단일 레코드로 채워지며, Domain ID와 모든 Domain에 대한 설명적 이름을 포함한다.","Users can leverage the DOMAIN table to explore the full spectrum of health-related data Domains available in the Standardized Vocabularies. Also, the information in the DOMAIN table may be used as a reference for mapping source data to OMOP domains, facilitating data harmonization and interoperability.",NA
concept_class,VOCAB,No,NA,No,NA,NA,"CONCEPT_CLASS 테이블은 각 Vocabulary의 소스 구조를 참조하는 의미적 범주를 포함한다. Concept Class는 vocabulary 구조의 이른바 수평적(예: MedDRA, RxNorm) 또는 수직적 수준(예: SNOMED)을 나타낸다. HCPCS와 같이 Concept Class가 없는 vocabulary는 vocabulary_id를 Concept Class로 사용한다. 이 참조 테이블은 각 Concept Class에 대해 단일 레코드로 채워지며, Concept Class ID와 완전히 명시된 Concept Class 이름을 포함한다.
",Users can utilize the CONCEPT_CLASS table to explore the different classes or categories of concepts within the OHDSI vocabularies.,NA
concept_relationship,VOCAB,No,NA,No,NA,NA,"CONCEPT_RELATIONSHIP 테이블은 임의의 두 Concept 사이의 관계와 그 관계의 성격 또는 유형을 정의하는 레코드를 포함한다. 이 테이블은 계층적, 연관적, 기타 의미적 연결을 포함한 다양한 유형의 관계를 담아내어, 임상 개념의 포괄적인 분석과 해석을 가능하게 한다. 모든 종류의 관계는 RELATIONSHIP 테이블에 정의되어 있다.","The CONCEPT_RELATIONSHIP table can be used to explore hierarchical or attribute relationships between concepts to understand the hierarchical structure of clinical concepts and uncover implicit connections and associations within healthcare data. For example, users can utilize mapping relationships ('Maps to') to harmonize data from different sources and terminologies, enabling interoperability and data integration across disparate datasets.",NA
relationship,VOCAB,No,NA,No,NA,NA,RELATIONSHIP 테이블은 CONCEPT_RELATIONSHP 테이블에서 임의의 두 concept를 연관시키는 데 사용할 수 있는 모든 유형의 관계에 대한 참조 목록을 제공한다.,NA,NA
concept_synonym,VOCAB,No,NA,No,NA,NA,CONCEPT_SYNONYM 테이블은 Concept에 대한 대체 이름과 설명을 저장하는 데 사용된다.,NA,NA
concept_ancestor,VOCAB,No,NA,No,NA,NA,"CONCEPT_ANCESTOR 테이블은 Concept 간의 완전한 계층적 관계를 제공하여 관찰 분석을 단순화하도록 설계되었다. CONCEPT_RELATIONSHIP 테이블에는 Concept 간의 직접적인 부모-자식 관계만 저장된다. 더 높은 수준의 조상 연결을 확인하려면 분석 시점에 모든 개별 직접 관계를 탐색해야 한다. CONCEPT_ANCESTOR 테이블은 모든 부모-자식 관계뿐만 아니라 조부모-손자 관계와 그 외 모든 수준의 계보 관계에 대한 레코드를 포함한다. CONCEPT_ANCESTOR 테이블을 사용하면 계층적 concept의 모든 후손을 쿼리할 수 있다. 예를 들어, drug 성분과 drug 제품은 모두 drug class 조상의 후손이다.

이 테이블은 전적으로 CONCEPT, CONCEPT_RELATIONSHIP 및 RELATIONSHIP 테이블로부터 파생된다.",NA,NA
source_to_concept_map,VOCAB,No,NA,No,NA,NA,"source to concept map 테이블은 OMOP Common Data Model 내의 레거시 데이터 구조로, Standardized Vocabularies에 Concept로 제공되지 않는 로컬 소스 코드를 유지하고, 각 소스 코드를 Common Data Model 테이블을 채우는 데 사용할 수 있는 target_concept_ids로서 Standard Concept에 매핑하기 위해 ETL 프로세스에서 사용하도록 권장된다. SOURCE_TO_CONCEPT_MAP 테이블은 OMOP 커뮤니티에 게시되는 Standardized Vocabularies 내에서 더 이상 콘텐츠로 채워지지 않는다.",NA,NA
drug_strength,VOCAB,No,NA,No,NA,NA,DRUG_STRENGTH 테이블은 특정 drug 제품에 포함된 특정 성분의 양 또는 농도와 관련 단위에 관한 구조화된 콘텐츠를 포함한다. 이 테이블은 drug 사용에 대한 표준화된 분석을 지원하기 위한 보충 정보이다.,NA,NA
cohort_definition,VOCAB,No,NA,No,NA,NA,"COHORT_DEFINITION 테이블은 관련 설명과 구문을 통해 데이터로부터 파생되고 인스턴스화(알고리즘 실행) 시 COHORT 테이블에 저장되는 Cohort를 정의하는 레코드를 포함한다. Cohort는 일정 기간 동안 주어진 포함 기준 조합을 충족하는 대상자들의 집합이다. COHORT_DEFINITION 테이블은 대상자를 코호트에 포함시키는 것을 관장하는 규칙을 유지하기 위한 표준화된 구조를 제공하며, OMOP Common Data Model 내에서 코호트를 인스턴스화하기 위한 운영 프로그래밍 코드를 저장할 수 있다.",NA,NA
attribute_definition,VOCAB,No,NA,No,NA,NA,"ATTRIBUTE_DEFINITION 테이블은 관련 설명과 구문을 통해 각 속성을 정의하는 레코드를 포함한다. 속성은 코호트 내 대상자에 대해 선택하거나 계산할 수 있는 파생 요소이다. ATTRIBUTE_DEFINITION 테이블은 코호트 내 대상자에 대한 공변량 계산을 관장하는 규칙을 유지하기 위한 표준화된 구조를 제공하며, OMOP Common Data Model 내에서 주어진 코호트에 대한 속성을 인스턴스화하기 위한 운영 프로그래밍 코드를 저장할 수 있다.",NA,NA
